,sample_name,forward_primer,reverse_primer
A01,sample_A01,t7,t7term
B01,,,
C01,sample_C01,t7,t7term
D01,,,
E01,sample_E01,t7,t7term
F01,,,
G01,sample_G01,t7,t7term
H01,,,
I01,sample_I01,t7,t7term
J01,,,
K01,sample_K01,t7,t7term
L01,,,
M01,,,
N01,,,
O01,,,
P01,,,
A02,,,
B02,,,
C02,,,
D02,,,
E02,,,
F02,,,
G02,,,
H02,,,
I02,,,
J02,,,
K02,,,
L02,,,
M02,,,
N02,,,
O02,,,
P02,,,
A03,sample_A03,t7,t7term
B03,,,
C03,sample_C03,t7,t7term
D03,,,
E03,sample_E03,t7,t7term
F03,,,
G03,sample_G03,t7,t7term
H03,,,
I03,sample_I03,t7,t7term
J03,,,
K03,sample_K03,t7,t7term
L03,,,
M03,,,
N03,,,
O03,,,
P03,,,
A04,,,
B04,,,
C04,,,
D04,,,
E04,,,
F04,,,
G04,,,
H04,,,
I04,,,
J04,,,
K04,,,
L04,,,
M04,,,
N04,,,
O04,,,
P04,,,
A05,sample_A05,t7,t7term
B05,,,
C05,sample_C05,t7,t7term
D05,,,
E05,sample_E05,t7,t7term
F05,,,
G05,sample_G05,t7,t7term
H05,,,
I05,sample_I05,t7,t7term
J05,,,
K05,sample_K05,t7,t7term
L05,,,
M05,,,
N05,,,
O05,,,
P05,,,
A06,,,
B06,,,
C06,,,
D06,,,
E06,,,
F06,,,
G06,,,
H06,,,
I06,,,
J06,,,
K06,,,
L06,,,
M06,,,
N06,,,
O06,,,
P06,,,
A07,sample_A07,t7,t7term
B07,,,
C07,sample_C07,t7,t7term
D07,,,
E07,sample_E07,t7,t7term
F07,,,
G07,sample_G07,t7,t7term
H07,,,
I07,sample_I07,t7,t7term
J07,,,
K07,sample_K07,t7,t7term
L07,,,
M07,,,
N07,,,
O07,,,
P07,,,
A08,,,
B08,,,
C08,,,
D08,,,
E08,,,
F08,,,
G08,,,
H08,,,
I08,,,
J08,,,
K08,,,
L08,,,
M08,,,
N08,,,
O08,,,
P08,,,
A09,sample_A09,t7,t7term
B09,,,
C09,sample_C09,t7,t7term
D09,,,
E09,sample_E09,t7,t7term
F09,,,
G09,sample_G09,t7,t7term
H09,,,
I09,sample_I09,t7,t7term
J09,,,
K09,sample_K09,t7,t7term
L09,,,
M09,,,
N09,,,
O09,,,
P09,,,
A10,,,
B10,,,
C10,,,
D10,,,
E10,,,
F10,,,
G10,,,
H10,,,
I10,,,
J10,,,
K10,,,
L10,,,
M10,,,
N10,,,
O10,,,
P10,,,
A11,sample_A11,t7,t7term
B11,,,
C11,sample_C11,t7,t7term
D11,,,
E11,sample_E11,t7,t7term
F11,,,
G11,sample_G11,t7,t7term
H11,,,
I11,sample_I11,t7,t7term
J11,,,
K11,sample_K11,t7,t7term
L11,,,
M11,,,
N11,,,
O11,,,
P11,,,
A12,,,
B12,,,
C12,,,
D12,,,
E12,,,
F12,,,
G12,,,
H12,,,
I12,,,
J12,,,
K12,,,
L12,,,
M12,,,
N12,,,
O12,,,
P12,,,
A13,,,
B13,,,
C13,,,
D13,,,
E13,,,
F13,,,
G13,,,
H13,,,
I13,,,
J13,,,
K13,,,
L13,,,
M13,,,
N13,,,
O13,,,
P13,,,
A14,,,
B14,,,
C14,,,
D14,,,
E14,,,
F14,,,
G14,,,
H14,,,
I14,,,
J14,,,
K14,,,
L14,,,
M14,,,
N14,,,
O14,,,
P14,,,
A15,,,
B15,,,
C15,,,
D15,,,
E15,,,
F15,,,
G15,,,
H15,,,
I15,,,
J15,,,
K15,,,
L15,,,
M15,,,
N15,,,
O15,,,
P15,,,
A16,,,
B16,,,
C16,,,
D16,,,
E16,,,
F16,,,
G16,,,
H16,,,
I16,,,
J16,,,
K16,,,
L16,,,
M16,,,
N16,,,
O16,,,
P16,,,
A17,,,
B17,,,
C17,,,
D17,,,
E17,,,
F17,,,
G17,,,
H17,,,
I17,,,
J17,,,
K17,,,
L17,,,
M17,,,
N17,,,
O17,,,
P17,,,
A18,,,
B18,,,
C18,,,
D18,,,
E18,,,
F18,,,
G18,,,
H18,,,
I18,,,
J18,,,
K18,,,
L18,,,
M18,,,
N18,,,
O18,,,
P18,,,
A19,,,
B19,,,
C19,,,
D19,,,
E19,,,
F19,,,
G19,,,
H19,,,
I19,,,
J19,,,
K19,,,
L19,,,
M19,,,
N19,,,
O19,,,
P19,,,
A20,,,
B20,,,
C20,,,
D20,,,
E20,,,
F20,,,
G20,,,
H20,,,
I20,,,
J20,,,
K20,,,
L20,,,
M20,,,
N20,,,
O20,,,
P20,,,
A21,,,
B21,,,
C21,,,
D21,,,
E21,,,
F21,,,
G21,,,
H21,,,
I21,,,
J21,,,
K21,,,
L21,,,
M21,,,
N21,,,
O21,,,
P21,,,
A22,,,
B22,,,
C22,,,
D22,,,
E22,,,
F22,,,
G22,,,
H22,,,
I22,,,
J22,,,
K22,,,
L22,,,
M22,,,
N22,,,
O22,,,
P22,,,
A23,,,
B23,,,
C23,,,
D23,,,
E23,,,
F23,,,
G23,,,
H23,,,
I23,,,
J23,,,
K23,,,
L23,,,
M23,,,
N23,,,
O23,,,
P23,,,
A24,,,
B24,,,
C24,,,
D24,,,
E24,,,
F24,,,
G24,,,
H24,,,
I24,,,
J24,,,
K24,,,
L24,,,
M24,,,
N24,,,
O24,,,
P24,,,
